"Abstract","Application","Comparison","Complement","Country","DOI/PMID/Link","First Author","ID","Journal","Last Author","Model","Other Authors","Primary Topic","Publish Year","Rank","Secondary Topic","Tertiary Topic","Title","Vehicle","pH"
"Cerebral ischemia‑reperfusion injury (CIRI) is a serious pathological disease that is associated with a high rate death and disability. Saturated hydrogen (H2) saline exhibits brain protective functions through anti‑inflammatory, antioxidant and antiapoptotic effects. The present study investigated the potential treatment effects of H2 on CIRI. In addition, the potential protective mechanisms of H2 in the prevention of CIRI were investigated. Adult, male Sprague‑Dawley rats (n=60) were randomly divided into the following three groups: Sham‑operated group; IR group; and IR + H2 group (0.6 mmol/l, 0.5 ml/kg/day). Hematoxylin and eosin, and TUNEL staining were performed for histopathological analysis and investigation of apoptosis, respectively. In addition, the protein expression of caspase‑3, p38 mitogen‑activated protein kinase (MAPK) and phosphorylated‑p38 MAPK in the cortex were measured by western blotting analysis. These results demonstrated that H2 significantly reduced the number of apoptotic cells, and the protein expression of p38 MAPK and caspase‑3, compared with the IR group. These effects may be associated with the p38MAPK signaling pathway.","Injection","","","China","10.3892/mmr.2017.7294","Li, Da","400","Molecular Medicine Reports","Ai, Yanqi","Rat","","Brain","2017","Positive","Brain Injury","Ischemia-Reperfusion (I/R) Injury","Hydrogen saline suppresses neuronal cell apoptosis and inhibits the p38 mitogen-activated protein kinase-caspase-3 signaling pathway following Cerebral ischemia-reperfusion injury","Saline (Dissolved)","Neutral"
"Background and aims: This study explored the hepatoprotection of high concentrations of hydrogen (HCH) inhalation in a mouse hepatic ischemia/reperfusion (I/R) injury model and the potential mechanism. Methods: To explore the role of the PI3K-Akt pathway in the hepatoprotection of HCH, C57BL/6 mice were randomly divided into five groups: Sham, I/R, I/R + HCH, LY294002 (PI3K inhibitor) + I/R + HCH, and LY + I/R groups. Mice received inhalation of 66.7% hydrogen and 33.3% oxygen for 1 h immediately after surgery. LY294002 was intravenously injected at 10 mol/kg. To explore whether PI3K-Akt pathway activation was mediated by the A2A receptor, additional four groups were included: ZM241385 (A2A receptor antagonist) + I/R + HCH, ZM241385 + I/R, bpv(HOpic) (PTEN inhibitor) + I/R, and ZM241385 + bpv + I/R + HCH. Six hours after I/R, serum biochemistry, histological examination, Western blotting, and immunohistochemistry were performed to evaluate the hepatoprotection of HCH and the role of the PI3K-Akt pathway and A2A receptor in this protection. Results: Liver dysfunction, hepatic pathological injury, infiltration of inflammatory cytokines, and hepatocyte apoptosis were observed after hepatic I/R, accompanied by inhibition of the PI3K-Akt pathway. HCH significantly improved liver function, reduced serum inflammatory cytokines, and inhibited hepatocyte apoptosis, and also induced the PI3K-Akt pathway activation. In the presence of LY294002 or ZM241385, the protective effects of HCH were markedly attenuated, but the effects of ZM241385 were reversed by bpv(HOpic). Conclusion: Our findings indicate that HCH may protect the liver against I/R injury through the A2A dependent PI3K-Akt pathway.","Inhalation","","","China","10.1016/j.bcp.2017.02.003","Li, He","401","Biochemical Pharmacology","Sun, Xue-Jun","Mouse","Chen, Ouyang; Ye, Zhouheng; Zhang, Rongjia; Hu, Huijun; Zhang, Ning; Guang, Junlong; Liu, Wenwu","Liver","2017","Positive","Surgery/Transplantation","Ischemia-Reperfusion (I/R) Injury","Inhalation of high concentrations of hydrogen ameliorates liver ischemia/reperfusion injury through A2A receptor mediated PI3K-Akt pathway","Gas","N/A"
"In the last decade, many studies have shown that hydrogen gas or hydrogen water can reduce the levels of reactive oxygen species in the living body. Molecular hydrogen has antioxidant and antiapoptotic effects and a preventive effect on oxidative stress-induced cell death. In the present study, we investigated solidified hydrogen-occluding-silica (H2-silica) that can release molecular hydrogen into cell culture medium because the use of hydrogen gas has strict handling limitations in hospital and medical facilities and laboratories, owing to its physicochemical characteristics. Human esophageal squamous cell carcinoma (KYSE-70) cells and normal human esophageal epithelial cells (HEEpiCs) were used to investigate the effects of H2-silica on cell viability and proliferation. Cell migration was examined with wound healing and culture-insert migration assays. The intracellular levels of reactive oxygen species were evaluated with a nitroblue tetrazolium assay. To assess the apoptotic status of the cells, the Bax/Bcl-2 ratio and cleaved caspase-3 were analyzed by western blot. The results showed that KYSE-70 cells and HEEpiCs were generally inhibited by H2-silica administration, and there was a significant proliferation-inhibitory effect in an H2-silica concentration-dependent manner compared with the control group (P < 0.05) in KYSE-70. Apoptosis-inducing effect on KYSE-70 cells was observed in 10, 300, 600, and 1,200 ppm H2-silica, and only 1,200 ppm H2-silica caused a 2.4-fold increase in apoptosis in HEEpiCs compared with the control group as the index of Bax/Bcl-2. H2 silica inhibited cell migration in KYSE-70 cells, and high concentrations had a cytotoxic effect on normal cells. These findings should provide insights into the mechanism of inhibition of H2-silica on human cancer cells in vitro.","Culture Media","","","Japan","10.4103/2045-9912.208510","Li, Qiang","403","Medical Gas Research","Miwa, Nobuhiko","Cell Culture","Tanaka, Yoshiharu","Whole Body","2017","Positive","Cancer","Novel Therapy","Influence of hydrogen-occluding-silica on migration and apoptosis in human esophageal cells in vitro","Gas (Sustained Release)","N/A"
"Background Postsurgical peritoneal adhesions (PPAs) are pathologic fibrous bands within the peritoneal cavity. The aim of this study was to investigate the protective effect of hydrogen-rich saline (HRS) on PPAs formation in mice. Material/Methods Adhesions were induced in mice using the cecum rubbing model. The mice were allocated into 4 groups: control sham group without cecum rubbing; PPA group with saline applied intraperitoneally (i.p.) daily after cecum rubbing; PPA+HRS (5) group with 5 ml/kg of HRS applied i.p. daily after cecum rubbing; and PPA+HRS (10) group with 10 ml/kg of HRS applied i.p. daily after cecum rubbing. On the 1st, 3rd, and 7th days after the operation, mice were killed and pathological adhesion bands were quantified to detect the effect of HRS on PPAs formation. Results HRS did not affect PPAs formation on the 1st day, but did make a significant reduction on the 3rd and 7th days. A significant increase of t-PA and decrease of TGF-β1 and PAI-1 in the peritoneal fluids were observed in the HRS-treated groups. The levels of MDA and MPO in the HRS-treated groups were significantly lower than those in the PPA group. TNF-α and IL-6 levels in HRS-treated groups significantly decreased compared with those in the PPA group on postoperative day 3 and 7. Moreover, HRS decreased the mRNA levels of pro-inflammatory cytokines and TGF-β1 expression in the postsurgical adhesion bands. Conclusions These results showed that HRS had therapeutic potential for preventing PPAs formation, possibly through balancing the expression of TGF-β1, t-PA, and PAI-1, and inhibiting oxidative stress and inflammation.","Injection","","","China","10.12659/MSM.904669","Liu, Zhong","407","Medical Science Monitor","Hong, Xin","Mouse","Cheng, Sanfang; Gu, Changwei; Pei, Honghong","Peritonium","2017","Positive","Surgery/Transplantation","Postsurgical Peritoneal Adhesions","Effect of Hydrogen-Rich Saline on Postoperative Intra-Abdominal Adhesion Bands Formation in Mice","Saline (Dissolved)","Neutral"
"Chronic obstructive pulmonary disease induced by tobacco smoke has been regarded as a great health problem worldwide. The purpose of this study is to evaluate the protective effect of hydrogen-rich saline, a novel antioxidant, on chronic obstructive pulmonary disease and explore the underlying mechanism. Sprague-Dawley rats were made chronic obstructive pulmonary disease models via tobacco smoke exposure for 12 weeks and the rats were treated with 10 ml/kg hydrogen-rich saline intraperitoneally during the last 4 weeks. Lung function testing indicated hydrogen-rich saline decreased lung airway resistance and increased lung compliance and the ratio of forced expiratory volume in 0.1 s/forced vital capacity in chronic obstructive pulmonary disease rats. Histological analysis revealed that hydrogen-rich saline alleviated morphological impairments of lung in tobacco smoke-induced chronic obstructive pulmonary disease rats. ELISA assay showed hydrogen-rich saline lowered the levels of pro-inflammatory cytokines (IL-8 and IL-6) and anti-inflammatory cytokine IL-10 in bronchoalveolar lavage fluid and serum of chronic obstructive pulmonary disease rats. The content of malondialdehyde in lung tissue and serum was also determined and the data indicated hydrogen-rich saline suppressed oxidative stress reaction. The protein expressions of mucin MUC5C and aquaporin 5 involved in mucus hypersecretion were analyzed by Western blot and ELISA and the data revealed that hydrogen-rich saline down-regulated MUC5AC level in bronchoalveolar lavage fluid and lung tissue and up-regulated aquaporin 5 level in lung tissue of chronic obstructive pulmonary disease rats. In conclusion, these results suggest that administration of hydrogen-rich saline exhibits significant protective effect on chronic obstructive pulmonary disease through alleviating inflammation, reducing oxidative stress and lessening mucus hypersecretion in tobacco smoke-induced chronic obstructive pulmonary disease rats.","Injection","","","China","10.1177/1535370217725249","Liu, Zibing","408","Experimental Biology and Medicine","Si, Yanhong","Rat","Geng, Wenye; Jiang, Chuanwei; Zhao, Shujun; Liu, Yong; Zhang, Ying; Qin, Shucun; Li, Chenxu; Zhang, Xinfang","Lung","2017","Positive","Environmental Pollution","Cigarette Smoke Exposure","Hydrogen-rich saline inhibits tobacco smoke-induced chronic obstructive pulmonary disease by alleviating airway inflammation and mucus hypersecretion in rats","Saline (Dissolved)","Neutral"
"Objective: To evaluate the effect of hydrogen-rich saline (HS) on hepatic ischemia-reperfusion (I/R) injury. Methods: Forty rats were randomly allocated into five groups: one sham group (control group), one group treated with 20 min of ischemia and normal saline (NS; I/R1 + NS group), one group treated with 20 min of ischemia and HS (I/R1 + HS group), one group treated with 60 min of ischemia and NS (I/R2 + NS group), and one group treated with 60 min of ischemia and HS (I/R2 + HS group). After reperfusion for 6 h, hepatic function, oxidative stress, pathological changes, and apoptosis of hepatic cells were evaluated. Furthermore, the expression levels of endoplasmic reticulum (ER) stress-associated proteins were identified. Results: Serum ALT and AST levels and tissue MDA content in the I/R + HS groups were significantly lower than those in the I/R + NS groups. Pathological changes were also significantly ameliorated in the HS groups compared with those in the NS groups. Moreover, HS appeared to significantly attenuate hepatic I/R-induced ER stress responses, as indicated by the decreased expression of C/EBP homologous protein, protein-kinase-RNA-like ER kinase, and inositol-requiring protein-1α, as well as the increased expression of GRP78 proteins. Finally, the levels of apoptotic markers such as caspase-3 and TUNEL-positive cells were significantly lower in the HS groups than in the NS control groups, whereas the level of Bcl2 protein increased in the HS groups. Conclusion: The protective effect of HS can be attributed to ER stress and apoptosis inhibition.","Injection","","","China","10.1007/s10620-017-4811-8","Lu, Zhiyuan","409","Digestive Diseases and Sciences","Gong, Jia","Rat","Lin, Yanzhu; Peng, Bo; Bao, Zhen; Niu, Kexin","Liver","2017","Positive","Surgery/Transplantation","Ischemia-Reperfusion (I/R) Injury","Hydrogen-Rich Saline Ameliorates Hepatic Ischemia-Reperfusion Injury Through Regulation of Endoplasmic Reticulum Stress and Apoptosis","Saline (Dissolved)","Neutral"
"Objective: To investigate the role of autophagy in hydrogen-rich saline attenuating post-herpetic neuralgia( PHN) in rats. Methods: A total of 100 male SD rats were randomly divided into the five groups( n = 20) : control group,PHN group,PHN group treated with hydrogen-rich saline( PHN-H2group),PHN group treated with hydrogen-rich saline and3-MA( PHN-H2-3-MA group),PHN group treated with hydrogen-rich saline and rapamycin( PHN-H2-Rap group). PHN models were established by varicella-zoster virus( VZV) inoculation. After modeling,15 mg / kg 3-MA or 10 mg / kg rapamycin were intraperitoneally injected in corresponding rats with PHN once two days for 3 times. Hydrogen-rich saline( 10 m L / kg)was injected intraperitoneally twice a day for 7 consecutive days in PHN-H2 group,PHN-H2-3-MA group and PHN-H2-Rap group after VZV injection. The paw withdrawal thresholds( PWT) of 50 rats were detected at 3,7,14 and 21 days after modeling. Spinal cord enlargements of the other 50 rats were collected to examine tumor necrosis factor α( TNF-α),interleukine 1β( IL-1β) and IL-6 by ELISA and autophagy protein microtubule-associated protein 1 light chain 3( LC3),beclin 1and P62 by Western blotting. Results: Compared with the control group,the rats in the PHN group presented with decreased PWT,increased levels of TNF-α,IL-1β,IL-6,LC3Ⅱ and beclin 1,and down-regulated P62 expression. Compared with PHN group,the rats in the PHN-H2 group and PHN-H2-Rap group showed increased PWT,decreased levels of TNF-α,IL-1β and IL-6,further up-regulated expressions of LC3 and beclin 1 as wel as P62 expression. Compared with PHN-H2 group,the rats in the PHN-H2-3-MA group had reduced PWT,elevated expressions of TNF-α,IL-1β and IL-6,suppressed expressions of LC3 and beclin 1,and enhanced p62 expression. Conclusion: Hydrogen-rich saline attenuated PWT and inhibited the release of cytokines TNF-α,IL-1β,IL-6 in rats with PHN via activating autophagy.","Injection","","","China","29762002","Ma, Hongtao","410","Chinese Journal of Cellular and Molecular Immunology","Xie, Ke-Liang","Rat","Chen, Hongguang; Dong, Aili; Wang, Yanyan; Bian, Yingxue","Skin","2017","Positive","Shingles","Post-Herpetic Neuralgia","Hydrogen-rich saline attenuates hyperalgesia and reduces cytokines in rats with post-herpetic neuralgia via activating autophagy","Saline (Dissolved)","Neutral"
"The problem of influence of redox potential of water on human blood is considered and some of research results in this area are given. Results of clinical experiments indicate a positive therapeutic effect of water consumption with the negative value of the redox potential. However, the influence of salt content of such water on the human body isn’t analyzed. Distilled, tap and natural mineral medical-table water «Polyana Kvasova» (Ukraine) are analyzed. Distilled water doesn’t have drinking water properties. The value of the total salt content of «Polyana Kvasova» mineral water far exceeds the standard value of allowable salt content in the water. Tap water (Lviv, Ukraine) is characterized by physiological full value of mineral composition. All water samples in accordance with pH value, except distilled water, meet drinking water quality indicators. The value of the redox potential is most favorable to the human body for «Polyana Kvasova» mineral water. The source water saturation with molecular hydrogen and activation in electric activator can reduce its redox potential for negative values. Change of the quality parameters for activated water (catholyte) indicates their non-compliance with drinking water indicators. Quality of hydrogen-saturated water hasn’t changed. Water consumption with negative redox potential improves blood condition of the experimenter compared to the reference Consumption of activated water (catholyte) has immunomodulatory effect rather than an antioxidant effect. The powerful antioxidant effect of hydrogen-saturated water is indicated. Blood state close to ideal is observed after consumption of natural mineral medical-table hydrogen-saturated water «Polyana Kvasova». Saturation of water with hydrogen can be considered as a method of improving drinking water quality and, thus, human health.","Culture Media","","","Ukraine","10.15587/2312-8372.2017.93633","Matsiyevska, Oksana","412","Ecology and Environmental Technology","","Cell Culture","","Blood","2017","Positive","Blood Composition","Redox Potential","Influence of redox potential of different water quality on the human blood","Water (Dissolved)","Mixed"
"Hydrogen gas (H2) reacts with strong oxidants, and the effectiveness of H2 inhalation or ingestion of H2 water has been demonstrated for many diseases. H2 produced by the intestinal microbiome from indigestible components is the major source of exogenous H2. In this study, we screened a wide variety of indigestible components that induce H2 production by the intestinal microbiome, which exhibits large diversity, and developed a beverage composed of cows’ milk with galactooligosaccharide, maltitol, and glucomannan (H2-producing milk). In clinical trials, the breath H2 concentration of most volunteers was increased by consumption of H2-producing milk 1 (each material: 1%) and H2-producing milk 2 (galactooligosaccharide: 1.5%, maltitol: 1%, and glucomannan: 0.1%). The total range of H2 production (area under the curve) increased and a higher peak concentration was observed compared with consumption of H2 water or pure cows’ milk. Thus, this material may be a desirable functional milk.","In Vivo Biotic Production","","Sugar Alcohol","Japan","10.1016/j.jff.2017.05.013","Matsumoto, Mitsuharu","413","Journal of Functional Foods","Tsubota, Kazuo","Human","Fujita, Ayoka; Yamashita, Ayano; Kameoka, Shoichiro; Shimomura, Yumi; Kitada, Yusuke; Tamada, Kazuki; Nakamura, Shigeru","Intestine","2017","Positive","Hydrogen Biology","Gut Microbiome","Effects of functional milk containing galactooligosaccharide, maltitol, and glucomannan on the production of hydrogen gas in the human intestine","Gas","N/A"
"Background: Mortality of hemorrhagic shock primarily depends on whether or not the patients can endure the loss of circulating volume until radical treatment is applied. We investigated whether hydrogen (H2) gas inhalation would influence the tolerance to hemorrhagic shock and improve survival. Methods: Hemorrhagic shock was achieved by withdrawing blood until the mean arterial blood pressure reached 30-35 mm Hg. After 60 minutes of shock, the rats were resuscitated with a volume of normal saline equal to four times the volume of shed blood. The rats were assigned to either the H2 gas (1.3% H2, 26% O2, 72.7% N2)-treated group or the control gas (26% O2, 74% N2)-treated group. Inhalation of the specified gas mixture began at the initiation of blood withdrawal and continued for 2 hours after fluid resuscitation. Results: The survival rate at 6 hours after fluid resuscitation was 80% in H2 gas-treated rats and 30% in control gas-treated rats (p < 0.05). The volume of blood that was removed through a catheter to induce shock was significantly larger in the H2 gas-treated rats than in the control rats. Despite losing more blood, the increase in serum potassium levels was suppressed in the H2 gas-treated rats after 60 minutes of shock. Fluid resuscitation completely restored blood pressure in the H2 gas-treated rats, whereas it failed to fully restore the blood pressure in the control gas-treated rats. At 2 hours after fluid resuscitation, blood pressure remained in the normal range and metabolic acidosis was well compensated in the H2 gas-treated rats, whereas we observed decreased blood pressure and uncompensated metabolic acidosis and hyperkalemia in the surviving control gas-treated rats. Conclusions: H2 gas inhalation delays the progression to irreversible shock. Clinically, H2 gas inhalation is expected to stabilize the subject until curative treatment can be performed, thereby increasing the probability of survival after hemorrhagic shock.","Inhalation","","","Japan","10.1097/TA.0000000000001620","Matsuoka, Tadashi","414","Journal of Trauma and Acute Care Surgery","Sasaki, Junichi","Rat","Suzuki, Masaru; Sano, Motoaki; Hayashida, Kei; Tamura, Tomoyoshi; Homma, Koichiro; Fukuda, Keiichi","Whole Body","2017","Positive","Shock","Hemorrhagic Shock","Hydrogen gas inhalation inhibits progression to the 'irreversible' stage of shock after severe hemorrhage in rats","Gas","N/A"
"Human norovirus (NoV) is the leading cause of acute gastroenteritis worldwide. Persistence on surfaces and resistance to many conventional disinfectants contribute to widespread transmission of norovirus. We examined the efficacy of neutral electrolyzed water (NEW; pH 7) for inactivation of human NoV GII.4 Sydney in suspension (ASTM method 1052-11) and on stainless steel surfaces (ASTM method 1053-11) with and without an additional soil load. The impact of the disinfectant on viral capsid was assessed using reverse transcriptase quantitative PCR (RT-qPCR; with an RNase pretreatment), SDS-PAGE, transmission electron microscopy, and a histo-blood group antigen (HBGA) receptor-binding assay. These studies were done in parallel with those using Tulane virus (TuV), a cultivable human NoV surrogate. Neutral electrolyzed water at 250 ppm free available chlorine produced a 4.8- and 0.4-log10 reduction in NoV genome copy number after 1 min in suspension and on stainless steel, respectively. Increasing the contact time on surfaces to 5, 10, 15, and 30 min reduced human NoV genomic copies by 0.5, 1.6, 2.4, and 5.0 log10 and TuV infectious titers by 2.4, 3.0, 3.8, and 4.1 log10 PFU, respectively. Increased soil load effectively eliminated antiviral efficacy regardless of testing method and virus. Exposure to NEW induced a near complete loss of receptor binding (5 ppm, 30 s), degradation of VP1 major capsid protein (250 ppm, 5 min), and increased virus particle aggregation (150 ppm, 30 min). Neutral electrolyzed water at 250 ppm shows promise as an antinoroviral disinfectant when used on precleaned stainless steel surfaces.IMPORTANCE Norovirus is the leading cause of acute viral gastroenteritis worldwide. Transmission occurs by fecal-oral or vomitus-oral routes. The persistence of norovirus on contaminated environmental surfaces exacerbates its spread, as does its resistance to many conventional disinfectants. The purpose of this research was to evaluate the antinoroviral efficacy of neutral electrolyzed water (NEW), a novel chlorine-based disinfectant that can be used at reduced concentrations, making it more environmentally friendly and less corrosive than bleach. An industrial-scale electrochemical activation device capable of producing relatively stable electrolyzed water at a wide pH range was used in this study. Experiments showed that 250 ppm NEW effectively eliminated (defined as a 5-log10 reduction) human norovirus GII.4 Sydney (epidemic strain) on clean stainless steel surfaces after a 30-min exposure. Supporting studies showed that, like bleach, NEW causes inactivation by disrupting the virus capsid. This product shows promise as a bleach alternative with antinoroviral efficacy.","Irrigation","","","United States","10.1128/AEM.00653-17","Moorman, Eric","415","Applied and Environmental Microbiology","Jaykus, Lee-Ann","Cell Culture","Montazeri, Naim","Stomach","2017","Positive","Gastroenteritis","Norovirus (NoV) Infection","Efficacy of Neutral Electrolyzed Water for Inactivation of Human Norovirus","Water (Electrolysis)","Neutral"
"Inhalation of molecular hydrogen (H2) gas ameliorates oxidative stress-induced acute injuries in the brain. Consumption of water nearly saturated with H2 also prevents chronic neurodegenerative diseases including Parkinson's disease in animal and clinical studies. However, the molecular mechanisms underlying the remarkable effect of a small amount of H2 remain unclear. Here, we investigated the effect of H2 on mitochondria in cultured human neuroblastoma SH-SY5Y cells. H2 increased the mitochondrial membrane potential and the cellular ATP level, which were accompanied by a decrease in the reduced glutathione level and an increase in the superoxide level. Pretreatment with H2 suppressed H2O2-induced cell death, whereas post-treatment did not. Increases in the expression of anti-oxidative enzymes underlying the Nrf2 pathway in H2-treated cells indicated that mild stress caused by H2 induced increased resistance to exacerbated oxidative stress. We propose that H2 functions both as a radical scavenger and a mitohormetic effector against oxidative stress in cells.","Ventilation","","","Japan","10.1371/journal.pone.0176992","Murakami, Yayoi","416","PLoS One","Ohsawa, Ikuroh","Cell Culture","Ito, Masafumi","Brain","2017","Positive","ROS-Scavenging","Oxidative Stress","Molecular hydrogen protects against oxidative stress-induced SH-SY5Y neuroblastoma cell death through the process of mitohormesis","Gas","N/A"
"We developed electrolyzed water (EW) using carbon electrodes and investigated the ability of the developed EW to inhibit the proliferation of human cervical carcinoma HeLa cells. We observed that EW-containing media inhibited HeLa cell proliferation. Many very small black dots were produced in EW and these were associated with the inhibitory effect on the cell proliferation. Furthermore, the very small black dots that could inhibit cell proliferation were produced only at pH 3 to 3.5 of EW. Additional experiments showed that this inhibition of proliferation is reversible. These results suggest that the effect of EW on HeLa cells is cytostatic and not cytotoxic. Thus, our results indicate that the EW developed in this study may be used to inhibit cell proliretation.","Culture Media","","","Japan","10.5582/bst.2017.01193","Nakamura, Kyoko","417","Bioscience Trends","Muraoka, Osamu","Cell Culture","","Whole Body","2017","Positive","Cancer","Oncogenesis","Effect of electrolyzed water produced using carbon electrodes on HeLa cell proliferation","Water (Electrolysis)","Acidic"
"Background Peritoneal dialysis (PD) is used as renal replacement therapy in patients with end-stage kidney disease. However, peritoneal membrane failure remains problematic and constitutes a critical cause of PD discontinuation. Recent studies have revealed the unique biological action of molecular hydrogen (H2) as an anti-oxidant, which ameliorates tissue injury. In the present study, we aimed to examine the effects of H2 on the peritoneal membrane of experimental PD rats. Method Eight-week-old male Sprague-Dawley rats were divided into the following groups (n = 8–11 each) receiving different test solutions: control group (no treatment), PD group (commercially available lactate-based neutral 2.5% glucose PD solution), and H2PD group (PD solution with dissolved H2 at 400 ppb). Furthermore, the influence of iron (FeCl3: 5 μM: inducer of oxidative cellular injury) in the respective PD solutions was also examined (Fe-PD and Fe-H2PD groups). The H2PD solution was manufactured by bathing a PD bag in H2-oversaturated water created by electrolysis of the water. Twenty mL of the test solutions were intraperitoneally injected once a day for 10 days. Parietal peritoneum samples and cells collected from the peritoneal surface following treatment with trypsin were subjected to analysis. Results In the PD group as compared to controls, a mild but significant sub-mesothelial thickening was observed, with increase in the number of cells in the peritoneal surface tissue that were positive for apoptosis, proliferation and vimentin, as seen by immunostaining. There were significantly fewer of such changes in the H2PD group, in which there was a dominant presence of M2 (CD163+) macrophages in the peritoneum. The Fe-PD group showed a significant loss of mesothelial cells with sub-mesothelial thickening, these changes being ameliorated in the Fe-H2PD group. Conclusion H2-dissolved PD solutions could preserve mesothelial cells and peritoneal membrane integrity in PD rats. Clinical application of H2 in PD could be a novel strategy for protection of peritoneal tissue during PD treatment.","Injection","","","Japan","10.1186/s12882-017-0741-0","Nakayama, Masaaki","419","BMC Nephrology","Ito, Sadayoshi","Rat","Zhu, Wan-Jun; Watanabe, Kimio; Gibo, Ayano; Sherif, Ali M.; Kabayama, Shigeru","Peritonium","2017","Positive","Peritoneal Dialysis","Biocompatibility","Dissolved molecular hydrogen (H2) in Peritoneal Dialysis (PD) solutions preserves mesothelial cells and peritoneal membrane integrity","Solution (Dissolved)","Alkaline"
"Colonic hydrogen (H2) can suppress oxidative stress and damage in the body. We examined the minimum requirement of high amylose cornstarch (HAS) to maintain high colonic H2 production for 24 h. Ileorectostomized and sham-operated rats were fed a control diet supplemented with or without 20% HAS for 7 days. Colonic starch utilization was determined. Next, rats were fed the control diet with or without 10% or 20% HAS for 14 or 28 days, respectively. Breath and flatus H2 excretion for 24 h was measured. 1.04 g of resistant fraction in HAS was utilized for 24 h by colonic bacteria. High H2 excretion was not maintained for 24 h in rats fed the 10% HAS diet, from which only 0.89 g of resistant starch was estimated to be delivered. High colonic H2 production for 24 h would be maintained by delivering more HAS to the large intestine than is utilized. © 2016 Japan Society for Bioscience, Biotechnology, and Agrochemistry.","In Vivo Biotic Production","","Starch","Japan","10.1080/09168451.2016.1234929","Nishimura, Naomichi","420","Bioscience, Biotechnology and Biochemistry","Yamamoto, Tatsuro","Rat","Tanabe, Hiroki","Intestine","2017","Positive","Hydrogen Biology","Gut Microbiome","Sufficient intake of high amylose cornstarch maintains high colonic hydrogen production for 24 h in rats","Gas","N/A"
"The incidence of chronic graft-versus-host disease (cGVHD) is rising recent years, which has been the leading cause of non-transplantation mortality post allogenetic hematopoietic stem cell transplantation (HSCT). Imbalance of inflammatory cytokines and fibrosis plays critical roles in the pathogenesis of cGVHD. Recent studies showed that molecular hydrogen has anti-inflammatory, antioxidant, anti-fibrosis effects. Therefore, we hypothesized that molecular hydrogen may have therapeutic effects on cGVHD. To determine whether hydrogen could protect mice from cGVHD in an MHC-incompatible murine bone marrow transplantation (BMT) model, survival rates of mice were calculated, and skin lesions were also evaluated after BMT. This article demonstrated that administration of hydrogen-rich saline increased survival rate of cGVHD mice. Administration of hydrogen-rich saline after transplantation also reduced skin lesions of cGVHD mice. Previously, we reported the therapeutic effects of hydrogen on acute GVHD. However, there was no report on the therapeutic effects of hydrogen on cGVHD mice. It is suggested that hydrogen has a potential as an effective and safe therapeutic agent on cGVHD. This study will provide new ideas on the treatment of cGVHD and has important theoretical values.","Injection","","","China","10.1111/jcmm.13155","Qian, Li-Ren","424","Journal of Cellular and Molecular Medicine","Yin, Wenjie","Mouse","Liu, Xiaopeng; Shen, Jianliang; Zhao, Defeng","Bone Marrow","2017","Positive","Surgery/Transplantation","Graft-Versus-Hose-Disease","Therapeutic effects of hydrogen on chronic graft-versus-host disease","Saline (Dissolved)","Neutral"
"Background: Periodontal disease is a progressive destructive change that causes loss of bone and periodontal ligaments around the teeth that can eventually lead to its loss. The main bacteria in chronic periodontitis is Porphyromonas gingivalis. Aggregatibacter actinomycetemcomitans, a pathogen associated with aggressive periodontitis, initiates a proinflammatory response that causes tissue destruction of periodontal, alveolar bone resorption and subsequent tooth loss. Electrolyzed reduced water (ERW) is an alkaline water, ERW not only has a high pH and low oxidation reduction potential (ORP), but also contains several magnesium ions. Magnesium ions proven effective for the prevention of various diseases. Purpose: To analyze the level of malondialdehyde (MDA) in Wistar rats with cases of chronic and aggressive periodontitis that consumed ERW. Method: Wistar rats were divided into four groups, each group with 10 rats. The first and second group were Wistar rat with chronic periodontitis and consume drinking water and ERW. The third and fourth group were Wistar rat with aggressive periodontitis and consume drinking water and ERW. This experiment is done by calculating the levels of MDA. The calculation of the levels of MDA is done with spectrophotometric assay for MDA. Result: The results of this experiment show that the level of MDA in serum in group that consume ERW had decreased significantly different with thegroup that consume drinking water with the statistical test. Conclusion: It can be concluded that ERW can decrease the MDA level in Wistar rat with chronic and aggressive periodontitis case.","Ingestion","","","Indonesia","10.20473/j.djmkg.v50.i1.p10-13","Ridwan, Rini Devijanti","425","Dental Journal","Setijanto, R. Darmawan","Rat","Juliastuti, Wisnu Setyari","Mouth","2017","Positive","Periodontitis","Inflammation","Effect of electrolyzed reduced water on Wistar rats with chronic periodontitis on malondialdehyde levels","Water (Electrolysis)","Alkaline"
